AREA;SOTTOAREA;STATO;QUARTIERE;ZONA;CENTRO_STORICO;SETTORE;BOTTEGA_STORICA;LATITUDINE;LONGITUDINE;DATA_INIZIO_ATTIVITA;DATA_CESSAZIONE_ATTIVITA;TIPOLOGIA_ESERCIZIO;ESERCIZIO_VIA;CIVICO;AREA STATISTICA;ATTIVITA_PREVALENTE_ESERCIZIO;ATTIVITA_SECONDARIA_ESERCIZIO;INSERITO_IN_CENTRO_COMMERCALE;geopoint
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;Porto - Saragozza;Saffi;;;;44.50157044;11.32012571;1996-08-02;1996-08-02;non definita;VIA AURELIO SAFFI;36;VIA VITTORIO VENETO;;FILODIFFUSIONE, ALBERGHI E PENSIONI, APPARECCHI TELEVISIVI, VIDEOREGISTRATORE;;44.50157044, 11.32012571
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Porto - Saragozza;Marconi;(centro storico);;;44.49738921;11.34312991;2019-03-06;2021-03-29;Case E Appartamenti Per Vacanze;VIA DELL'INDIPENDENZA;22 Int. 10/2;MARCONI-1;;;;44.49738921, 11.34312991
Attività ricettive;Strutture ricettive extralberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.4900363;11.34546686;2019-03-06;2021-03-29;Case E Appartamenti Per Vacanze;VICOLO DELL'ORTO;3 Int. 16;GALVANI-2;;;;44.4900363, 11.34546686
Attività ricettive;Alberghi - Residenze turistico alberghiere;Cessato;San Vitale;;;;;;;2006-07-28;2007-03-01;non definita;VIA FOSSOLO;13;;;RADIO, SOMMINISTRAZIONI RISERVATE AI SOLI ALLOGGIATI DELLE VARIE STRUTTURE RICETTIVE, ALBERGHI E PENSIONI, APPARECCHI TELEVISIVI;;
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;;;;;;;2003-10-28;2005-05-24;Bed & Breakfast;VIA DEL BORDONE;1/2 Int. 1;;;BED AND BREAKFAST;;
Attività ricettive;Altre tipologie ricettive;Cessato;Navile;;;;;;;2011-02-03;2012-01-09;Appartamenti Ammobiliati Ad Uso Turistico;VIA DEL BORDONE;1/2A;;;;;
Attività ricettive;Altre tipologie ricettive;Cessato;San Donato;;;;;;;2000-09-25;2004-11-10;Bed & Breakfast;VIA DEGLI ACERI;3;;;BED AND BREAKFAST;;
Attività ricettive;Strutture ricettive extralberghiere;Attivo;;;;;;;;2020-03-19;;Case E Appartamenti Per Vacanze;VICOLO TUBERTINI;;;;;;
Attività ricettive;Attività extra-alberghiere;Cessato;Santo Stefano;Galvani;(centro storico);;;44.49379149;11.34440834;2009-06-24;2009-09-22;Case E Appartamenti Per Vacanze;VICOLO RANOCCHI;6;GALVANI-1;;;;44.49379149, 11.34440834
Attività ricettive;Altre tipologie ricettive;Cessato;Santo Stefano;Galvani;(centro storico);;;44.48673447;11.34184033;2012-02-24;2012-10-21;Appartamenti Ammobiliati Ad Uso Turistico;VICOLO DEL FALCONE;22 Int. 3-5-6;GALVANI-2;;;;44.48673447, 11.34184033
