mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Dicembre 2025,2025-12-01,15.8983,-1.31164,-3.66185,-7.26015,"15,9 €/m2","- 1,3 %","- 3,7 %","- 7,3 %"
Novembre 2025,2025-11-01,16.1096,-1.68561,-5.34956,-3.34259,"16,1 €/m2","- 1,7 %","- 5,3 %","- 3,3 %"
Ottobre 2025,2025-10-01,16.3858,-0.707767,-3.15607,-5.78163,"16,4 €/m2","- 0,7 %","- 3,2 %","- 5,8 %"
Settembre 2025,2025-09-01,16.5026,-3.04052,-0.63942,-0.984598,"16,5 €/m2","- 3,0 %","- 0,6 %","- 1,0 %"
Agosto 2025,2025-08-01,17.0201,0.592797,6.37563,2.1204,"17,0 €/m2","+ 0,6 %","+ 6,4 %","+ 2,1 %"
Luglio 2025,2025-07-01,16.9198,1.8725,4.12185,1.57223,"16,9 €/m2","+ 1,9 %","+ 4,1 %","+ 1,6 %"
Giugno 2025,2025-06-01,16.6088,3.805,-0.347399,-0.242055,"16,6 €/m2","+ 3,8 %","- 0,3 %","- 0,2 %"
Maggio 2025,2025-05-01,16.0,-1.53846,-4.00019,0.412318,"16,0 €/m2","- 1,5 %","- 4,0 %","+ 0,4 %"
Aprile 2025,2025-04-01,16.25,-2.5002,-4.41176,6.77162,"16,3 €/m2","- 2,5 %","- 4,4 %","+ 6,8 %"
Marzo 2025,2025-03-01,16.6667,,-2.77783,5.55559,"16,7 €/m2",N/A,"- 2,8 %","+ 5,6 %"
Febbraio 2025,2025-02-01,16.6667,-1.96059,,8.5828,"16,7 €/m2","- 2,0 %",N/A,"+ 8,6 %"
Gennaio 2025,2025-01-01,17.0,-0.833581,-2.24998,14.0243,"17,0 €/m2","- 0,8 %","- 2,2 %","+ 14,0 %"
Dicembre 2024,2024-12-01,17.1429,2.85719,2.85719,19.24,"17,1 €/m2","+ 2,9 %","+ 2,9 %","+ 19,2 %"
Novembre 2024,2024-11-01,16.6667,-4.16645,,11.758,"16,7 €/m2","- 4,2 %",N/A,"+ 11,8 %"
Ottobre 2024,2024-10-01,17.3913,4.34759,4.40272,10.8729,"17,4 €/m2","+ 4,3 %","+ 4,4 %","+ 10,9 %"
Settembre 2024,2024-09-01,16.6667,,0.105711,,"16,7 €/m2",N/A,"+ 0,1 %",N/A
Agosto 2024,2024-08-01,16.6667,0.0528278,4.59637,6.77827,"16,7 €/m2","+ 0,1 %","+ 4,6 %","+ 6,8 %"
Luglio 2024,2024-07-01,16.6579,0.0528557,9.45175,7.08619,"16,7 €/m2","+ 0,1 %","+ 9,5 %","+ 7,1 %"
Giugno 2024,2024-06-01,16.6491,4.48592,5.44412,7.6643,"16,6 €/m2","+ 4,5 %","+ 5,4 %","+ 7,7 %"
Maggio 2024,2024-05-01,15.9343,4.69729,3.81125,,"15,9 €/m2","+ 4,7 %","+ 3,8 %",N/A
Aprile 2024,2024-04-01,15.2194,-3.61063,2.08128,,"15,2 €/m2","- 3,6 %","+ 2,1 %",N/A
Marzo 2024,2024-03-01,15.7895,2.86788,9.82625,,"15,8 €/m2","+ 2,9 %","+ 9,8 %",N/A
Febbraio 2024,2024-02-01,15.3493,2.95256,2.92426,,"15,3 €/m2","+ 3,0 %","+ 2,9 %",N/A
Gennaio 2024,2024-01-01,14.9091,3.70249,-4.95161,,"14,9 €/m2","+ 3,7 %","- 5,0 %",N/A
Dicembre 2023,2023-12-01,14.3768,-3.59681,,,"14,4 €/m2","- 3,6 %",N/A,N/A
Novembre 2023,2023-11-01,14.9132,-4.92547,-4.45585,,"14,9 €/m2","- 4,9 %","- 4,5 %",N/A
Ottobre 2023,2023-10-01,15.6858,,0.836998,11.9103,"15,7 €/m2",N/A,"+ 0,8 %","+ 11,9 %"
Settembre 2023,2023-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2023,2023-08-01,15.6087,0.341356,,9.89643,"15,6 €/m2","+ 0,3 %",N/A,"+ 9,9 %"
Luglio 2023,2023-07-01,15.5556,0.592994,,1.96114,"15,6 €/m2","+ 0,6 %",N/A,"+ 2,0 %"
Giugno 2023,2023-06-01,15.4639,,,11.2287,"15,5 €/m2",N/A,N/A,"+ 11,2 %"
Maggio 2023,2023-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2023,2023-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2023,2023-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2023,2023-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2023,2023-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2022,2022-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2022,2022-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2022,2022-10-01,14.0164,-0.403604,-8.12774,4.02862,"14,0 €/m2","- 0,4 %","- 8,1 %","+ 4,0 %"
Settembre 2022,2022-09-01,14.0732,-0.914589,1.22565,3.20319,"14,1 €/m2","- 0,9 %","+ 1,2 %","+ 3,2 %"
Agosto 2022,2022-08-01,14.2031,-6.90399,10.729,6.52352,"14,2 €/m2","- 6,9 %","+ 10,7 %","+ 6,5 %"
Luglio 2022,2022-07-01,15.2564,9.73617,,17.5034,"15,3 €/m2","+ 9,7 %",N/A,"+ 17,5 %"
Giugno 2022,2022-06-01,13.9028,8.38784,-3.50505,9.89053,"13,9 €/m2","+ 8,4 %","- 3,5 %","+ 9,9 %"
Maggio 2022,2022-05-01,12.8269,,,4.35416,"12,8 €/m2",N/A,N/A,"+ 4,4 %"
Aprile 2022,2022-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2022,2022-03-01,14.4078,,10.9966,24.7645,"14,4 €/m2",N/A,"+ 11,0 %","+ 24,8 %"
Febbraio 2022,2022-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2022,2022-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2021,2021-12-01,12.9804,-2.50197,-4.81065,7.16533,"13,0 €/m2","- 2,5 %","- 4,8 %","+ 7,2 %"
Novembre 2021,2021-11-01,13.3135,-1.18825,-0.1485,6.09804,"13,3 €/m2","- 1,2 %","- 0,1 %","+ 6,1 %"
Ottobre 2021,2021-10-01,13.4736,-1.19386,3.77239,1.74437,"13,5 €/m2","- 1,2 %","+ 3,8 %","+ 1,7 %"
Settembre 2021,2021-09-01,13.6364,2.27326,7.78485,4.13997,"13,6 €/m2","+ 2,3 %","+ 7,8 %","+ 4,1 %"
Agosto 2021,2021-08-01,13.3333,2.69182,8.47401,2.94077,"13,3 €/m2","+ 2,7 %","+ 8,5 %","+ 2,9 %"
Luglio 2021,2021-07-01,12.9838,2.62657,8.40521,-5.4713,"13,0 €/m2","+ 2,6 %","+ 8,4 %","- 5,5 %"
Giugno 2021,2021-06-01,12.6515,2.92718,9.55577,-10.4572,"12,7 €/m2","+ 2,9 %","+ 9,6 %","- 10,5 %"
Maggio 2021,2021-05-01,12.2917,2.62668,2.60269,-16.4165,"12,3 €/m2","+ 2,6 %","+ 2,6 %","- 16,4 %"
Aprile 2021,2021-04-01,11.9771,3.7158,-0.108423,-17.4392,"12,0 €/m2","+ 3,7 %","- 0,1 %","- 17,4 %"
Marzo 2021,2021-03-01,11.548,-3.60521,-4.66047,-17.9328,"11,5 €/m2","- 3,6 %","- 4,7 %","- 17,9 %"
Febbraio 2021,2021-02-01,11.9799,-0.0850702,-4.5297,-14.597,"12,0 €/m2","- 0,1 %","- 4,5 %","- 14,6 %"
Gennaio 2021,2021-01-01,11.9901,-1.01053,-9.45811,-10.6104,"12,0 €/m2","- 1,0 %","- 9,5 %","- 10,6 %"
Dicembre 2020,2020-12-01,12.1125,-3.47298,-7.49792,-7.32736,"12,1 €/m2","- 3,5 %","- 7,5 %","- 7,3 %"
