mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Dicembre 2025,2025-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2025,2025-11-01,16.6667,-7.18912,-6.24993,-9.58178,"16,7 €/m2","- 7,2 %","- 6,2 %","- 9,6 %"
Ottobre 2025,2025-10-01,17.9577,-0.235,5.11845,-2.56584,"18,0 €/m2","- 0,2 %","+ 5,1 %","- 2,6 %"
Settembre 2025,2025-09-01,18.0,1.24987,1.24987,0.703808,"18,0 €/m2","+ 1,2 %","+ 1,2 %","+ 0,7 %"
Agosto 2025,2025-08-01,17.7778,4.06537,-5.88229,-0.00393734,"17,8 €/m2","+ 4,1 %","- 5,9 %","0,0 %"
Luglio 2025,2025-07-01,17.0833,-3.90656,-5.67497,-5.78681,"17,1 €/m2","- 3,9 %","- 5,7 %","- 5,8 %"
Giugno 2025,2025-06-01,17.7778,-5.88229,2.56443,2.40019,"17,8 €/m2","- 5,9 %","+ 2,6 %","+ 2,4 %"
Maggio 2025,2025-05-01,18.8889,4.2946,8.45281,13.1072,"18,9 €/m2","+ 4,3 %","+ 8,5 %","+ 13,1 %"
Aprile 2025,2025-04-01,18.1111,4.48732,3.492,6.07539,"18,1 €/m2","+ 4,5 %","+ 3,5 %","+ 6,1 %"
Marzo 2025,2025-03-01,17.3333,-0.478851,-6.1111,4.43823,"17,3 €/m2","- 0,5 %","- 6,1 %","+ 4,4 %"
Febbraio 2025,2025-02-01,17.4167,-0.476,-5.51297,7.17969,"17,4 €/m2","- 0,5 %","- 5,5 %","+ 7,2 %"
Gennaio 2025,2025-01-01,17.5,-5.20814,-5.04921,2.22201,"17,5 €/m2","- 5,2 %","- 5,0 %","+ 2,2 %"
Dicembre 2024,2024-12-01,18.4615,0.155157,3.28574,6.50886,"18,5 €/m2","+ 0,2 %","+ 3,3 %","+ 6,5 %"
Novembre 2024,2024-11-01,18.4329,0.0124792,3.68085,8.75381,"18,4 €/m2","0,0 %","+ 3,7 %","+ 8,8 %"
Ottobre 2024,2024-10-01,18.4306,3.11287,1.64345,6.33059,"18,4 €/m2","+ 3,1 %","+ 1,6 %","+ 6,3 %"
Settembre 2024,2024-09-01,17.8742,0.538291,2.95546,3.61855,"17,9 €/m2","+ 0,5 %","+ 3,0 %","+ 3,6 %"
Agosto 2024,2024-08-01,17.7785,-1.95284,6.45808,9.40615,"17,8 €/m2","- 2,0 %","+ 6,5 %","+ 9,4 %"
Luglio 2024,2024-07-01,18.1326,4.44384,6.20131,4.61135,"18,1 €/m2","+ 4,4 %","+ 6,2 %","+ 4,6 %"
Giugno 2024,2024-06-01,17.3611,3.95868,4.60573,8.33354,"17,4 €/m2","+ 4,0 %","+ 4,6 %","+ 8,3 %"
Maggio 2024,2024-05-01,16.7,-2.18932,2.76923,0.1998,"16,7 €/m2","- 2,2 %","+ 2,8 %","+ 0,2 %"
Aprile 2024,2024-04-01,17.0738,2.87467,-0.26753,1.17807,"17,1 €/m2","+ 2,9 %","- 0,3 %","+ 1,2 %"
Marzo 2024,2024-03-01,16.5967,2.13354,-4.24962,-0.419999,"16,6 €/m2","+ 2,1 %","- 4,2 %","- 0,4 %"
