mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Dicembre 2025,2025-12-01,16.6667,,-2.22229,5.26359,"16,7 €/m2",N/A,"- 2,2 %","+ 5,3 %"
Novembre 2025,2025-11-01,16.6667,,,3.03032,"16,7 €/m2",N/A,N/A,"+ 3,0 %"
Ottobre 2025,2025-10-01,16.6667,-2.22229,-1.12363,5.55559,"16,7 €/m2","- 2,2 %","- 1,1 %","+ 5,6 %"
Settembre 2025,2025-09-01,17.0455,2.2728,,,"17,0 €/m2","+ 2,3 %",N/A,N/A
Agosto 2025,2025-08-01,16.6667,-1.12363,-4.76171,,"16,7 €/m2","- 1,1 %","- 4,8 %",N/A
Luglio 2025,2025-07-01,16.8561,-1.11114,-2.12574,,"16,9 €/m2","- 1,1 %","- 2,1 %",N/A
Giugno 2025,2025-06-01,17.0455,-2.59714,0.596657,,"17,0 €/m2","- 2,6 %","+ 0,6 %",N/A
Maggio 2025,2025-05-01,17.5,1.61303,4.99979,,"17,5 €/m2","+ 1,6 %","+ 5,0 %",N/A
Aprile 2025,2025-04-01,17.2222,1.63948,7.63875,,"17,2 €/m2","+ 1,6 %","+ 7,6 %",N/A
Marzo 2025,2025-03-01,16.9444,1.6662,7.01749,,"16,9 €/m2","+ 1,7 %","+ 7,0 %",N/A
Febbraio 2025,2025-02-01,16.6667,4.16687,3.03032,,"16,7 €/m2","+ 4,2 %","+ 3,0 %",N/A
Gennaio 2025,2025-01-01,16.0,1.05284,1.33316,,"16,0 €/m2","+ 1,1 %","+ 1,3 %",N/A
Dicembre 2024,2024-12-01,15.8333,-2.1216,,,"15,8 €/m2","- 2,1 %",N/A,N/A
Novembre 2024,2024-11-01,16.1765,2.451,,,"16,2 €/m2","+ 2,5 %",N/A,N/A
Ottobre 2024,2024-10-01,15.7895,,,,"15,8 €/m2",N/A,N/A,N/A
Settembre 2024,2024-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2024,2024-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2024,2024-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2024,2024-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2024,2024-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2024,2024-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2024,2024-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2024,2024-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2024,2024-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2023,2023-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2023,2023-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2023,2023-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2023,2023-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2023,2023-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2023,2023-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2023,2023-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2023,2023-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2023,2023-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2023,2023-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2023,2023-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2023,2023-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2022,2022-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2022,2022-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2022,2022-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2022,2022-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2022,2022-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2022,2022-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2022,2022-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2022,2022-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2022,2022-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2022,2022-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2022,2022-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2022,2022-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2021,2021-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2021,2021-11-01,13.0,-2.49976,7.05845,8.33333,"13,0 €/m2","- 2,5 %","+ 7,1 %","+ 8,3 %"
Ottobre 2021,2021-10-01,13.3333,6.6664,9.80326,3.11113,"13,3 €/m2","+ 6,7 %","+ 9,8 %","+ 3,1 %"
Settembre 2021,2021-09-01,12.5,2.94081,1.78573,4.16667,"12,5 €/m2","+ 2,9 %","+ 1,8 %","+ 4,2 %"
Agosto 2021,2021-08-01,12.1429,,-1.12209,-2.8568,"12,1 €/m2",N/A,"- 1,1 %","- 2,9 %"
Luglio 2021,2021-07-01,12.1429,-1.12209,-2.8568,-10.9523,"12,1 €/m2","- 1,1 %","- 2,9 %","- 11,0 %"
Giugno 2021,2021-06-01,12.2807,,3.91346,-14.035,"12,3 €/m2",N/A,"+ 3,9 %","- 14,0 %"
Maggio 2021,2021-05-01,12.2807,-1.7544,11.8461,,"12,3 €/m2","- 1,8 %","+ 11,8 %",N/A
Aprile 2021,2021-04-01,12.5,5.76907,-3.40927,,"12,5 €/m2","+ 5,8 %","- 3,4 %",N/A
Marzo 2021,2021-03-01,11.8182,7.63388,-4.32854,,"11,8 €/m2","+ 7,6 %","- 4,3 %",N/A
Febbraio 2021,2021-02-01,10.98,-15.1547,-8.5,,"11,0 €/m2","- 15,2 %","- 8,5 %",N/A
Gennaio 2021,2021-01-01,12.9412,4.76244,0.0788802,,"12,9 €/m2","+ 4,8 %","+ 0,1 %",N/A
Dicembre 2020,2020-12-01,12.3529,2.94083,2.94083,,"12,4 €/m2","+ 2,9 %","+ 2,9 %",N/A
Novembre 2020,2020-11-01,12.0,-7.19975,-4.0,,"12,0 €/m2","- 7,2 %","- 4,0 %",N/A
Ottobre 2020,2020-10-01,12.931,7.75833,-5.17292,-2.42964,"12,9 €/m2","+ 7,8 %","- 5,2 %","- 2,4 %"
Settembre 2020,2020-09-01,12.0,-4.0,-15.9999,-3.0773,"12,0 €/m2","- 4,0 %","- 16,0 %","- 3,1 %"
Agosto 2020,2020-08-01,12.5,-8.33358,,4.16667,"12,5 €/m2","- 8,3 %",N/A,"+ 4,2 %"
Luglio 2020,2020-07-01,13.6364,-4.5451,,,"13,6 €/m2","- 4,5 %",N/A,N/A
Giugno 2020,2020-06-01,14.2857,,,,"14,3 €/m2",N/A,N/A,N/A
Maggio 2020,2020-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2020,2020-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2020,2020-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2020,2020-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2020,2020-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2019,2019-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2019,2019-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2019,2019-10-01,13.253,7.04305,,,"13,3 €/m2","+ 7,0 %",N/A,N/A
Settembre 2019,2019-09-01,12.381,3.175,,,"12,4 €/m2","+ 3,2 %",N/A,N/A
Agosto 2019,2019-08-01,12.0,,,,"12,0 €/m2",N/A,N/A,N/A
Luglio 2019,2019-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2019,2019-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2019,2019-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2019,2019-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2019,2019-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2019,2019-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2019,2019-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2018,2018-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2018,2018-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2018,2018-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2018,2018-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2018,2018-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2018,2018-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2018,2018-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2018,2018-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2018,2018-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2018,2018-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2018,2018-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2018,2018-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2017,2017-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2017,2017-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2017,2017-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2017,2017-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2017,2017-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2017,2017-07-01,10.0249,6.50715,,3.33361,"10,0 €/m2","+ 6,5 %",N/A,"+ 3,3 %"
Giugno 2017,2017-06-01,9.41242,,,-3.60779,"9,4 €/m2",N/A,N/A,"- 3,6 %"
Maggio 2017,2017-05-01,,,,,N/A,N/A,N/A,N/A
Aprile 2017,2017-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2017,2017-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2017,2017-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2017,2017-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2016,2016-12-01,,,,,N/A,N/A,N/A,N/A
Novembre 2016,2016-11-01,,,,,N/A,N/A,N/A,N/A
Ottobre 2016,2016-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2016,2016-09-01,,,,,N/A,N/A,N/A,N/A
