"anno","media annuale centro storico","strutture centro storico","crescita prezzi centro storico","crescita strutture centro storico","media annuale zone esterne","strutture zone esterne","crescita prezzi zone esterne","crescita strutture zone esterne"
2015,11.57,604,-0.43,23.52,9.8,800,0.39,14.29
2016,12.01,853,3.79,41.23,10.03,917,2.41,14.63
2017,12.97,1221,8.02,43.14,10.62,1168,5.85,27.37
2018,14.52,1615,11.91,32.27,11.93,1494,12.35,27.91
2019,14.53,2173,0.11,34.55,13.02,1859,9.06,24.43
2020,15.12,2283,4.01,5.06,13.37,1853,2.7,-0.32
2021,15.03,2139,-0.61,-6.31,12.8,1735,-4.24,-6.37
2022,17.08,2326,13.67,8.74,13.88,1900,8.41,9.51
2023,20.22,2732,18.36,17.45,16.37,2308,17.94,21.47
2024,19.95,3024,-1.31,10.69,16.52,2675,0.94,15.9
