mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Dicembre 2025,2025-12-01,16.2294,-2.42767,-2.52086,-0.390963,"16,2 €/m2","- 2,4 %","- 2,5 %","- 0,4 %"
Novembre 2025,2025-11-01,16.6332,-0.102101,1.69479,0.807273,"16,6 €/m2","- 0,1 %","+ 1,7 %","+ 0,8 %"
Ottobre 2025,2025-10-01,16.6502,0.00660696,2.78536,-1.33215,"16,7 €/m2","0,0 %","+ 2,8 %","- 1,3 %"
Settembre 2025,2025-09-01,16.6491,1.792,1.34217,1.08375,"16,6 €/m2","+ 1,8 %","+ 1,3 %","+ 1,1 %"
Agosto 2025,2025-08-01,16.356,0.969196,3.58783,-0.695785,"16,4 €/m2","+ 1,0 %","+ 3,6 %","- 0,7 %"
Luglio 2025,2025-07-01,16.199,-1.39756,1.51403,-1.649,"16,2 €/m2","- 1,4 %","+ 1,5 %","- 1,6 %"
Giugno 2025,2025-06-01,16.4286,4.04763,5.61213,2.24039,"16,4 €/m2","+ 4,0 %","+ 5,6 %","+ 2,2 %"
Maggio 2025,2025-05-01,15.7895,-1.05218,-1.95476,0.783828,"15,8 €/m2","- 1,1 %","- 2,0 %","+ 0,8 %"
Aprile 2025,2025-04-01,15.9574,2.58299,-1.59593,3.50724,"16,0 €/m2","+ 2,6 %","- 1,6 %","+ 3,5 %"
Marzo 2025,2025-03-01,15.5556,-3.40716,-4.52646,3.704,"15,6 €/m2","- 3,4 %","- 4,5 %","+ 3,7 %"
Febbraio 2025,2025-02-01,16.1043,-0.690051,-2.39818,4.2046,"16,1 €/m2","- 0,7 %","- 2,4 %","+ 4,2 %"
Gennaio 2025,2025-01-01,16.2162,-0.471979,-3.904,1.09346,"16,2 €/m2","- 0,5 %","- 3,9 %","+ 1,1 %"
Dicembre 2024,2024-12-01,16.2931,-1.25394,-1.07768,-2.00818,"16,3 €/m2","- 1,3 %","- 1,1 %","- 2,0 %"
Novembre 2024,2024-11-01,16.5,-2.22222,0.1785,6.8909,"16,5 €/m2","- 2,2 %","+ 0,2 %","+ 6,9 %"
Ottobre 2024,2024-10-01,16.875,2.45528,2.45528,,"16,9 €/m2","+ 2,5 %","+ 2,5 %",N/A
Settembre 2024,2024-09-01,16.4706,,2.50177,,"16,5 €/m2",N/A,"+ 2,5 %",N/A
Agosto 2024,2024-08-01,16.4706,,5.13127,,"16,5 €/m2",N/A,"+ 5,1 %",N/A
Luglio 2024,2024-07-01,16.4706,2.50177,6.83609,,"16,5 €/m2","+ 2,5 %","+ 6,8 %",N/A
Giugno 2024,2024-06-01,16.0686,2.56531,7.124,,"16,1 €/m2","+ 2,6 %","+ 7,1 %",N/A
Maggio 2024,2024-05-01,15.6667,1.62162,1.37306,-0.12495,"15,7 €/m2","+ 1,6 %","+ 1,4 %","- 0,1 %"
Aprile 2024,2024-04-01,15.4167,2.778,-3.8907,,"15,4 €/m2","+ 2,8 %","- 3,9 %",N/A
Marzo 2024,2024-03-01,15.0,-2.94089,-9.78529,,"15,0 €/m2","- 2,9 %","- 9,8 %",N/A
Febbraio 2024,2024-02-01,15.4545,-3.65505,0.117904,,"15,5 €/m2","- 3,7 %","+ 0,1 %",N/A
Gennaio 2024,2024-01-01,16.0408,-3.52559,,,"16,0 €/m2","- 3,5 %",N/A,N/A
Dicembre 2023,2023-12-01,16.627,7.71364,,17.9981,"16,6 €/m2","+ 7,7 %",N/A,"+ 18,0 %"
Novembre 2023,2023-11-01,15.4363,,,11.1413,"15,4 €/m2",N/A,N/A,"+ 11,1 %"
Ottobre 2023,2023-10-01,,,,,N/A,N/A,N/A,N/A
Settembre 2023,2023-09-01,,,,,N/A,N/A,N/A,N/A
Agosto 2023,2023-08-01,,,,,N/A,N/A,N/A,N/A
Luglio 2023,2023-07-01,,,,,N/A,N/A,N/A,N/A
Giugno 2023,2023-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2023,2023-05-01,15.6863,,,,"15,7 €/m2",N/A,N/A,N/A
Aprile 2023,2023-04-01,,,,,N/A,N/A,N/A,N/A
Marzo 2023,2023-03-01,,,,,N/A,N/A,N/A,N/A
Febbraio 2023,2023-02-01,,,,,N/A,N/A,N/A,N/A
Gennaio 2023,2023-01-01,,,,,N/A,N/A,N/A,N/A
Dicembre 2022,2022-12-01,14.0909,1.4544,0.538693,7.83825,"14,1 €/m2","+ 1,5 %","+ 0,5 %","+ 7,8 %"
Novembre 2022,2022-11-01,13.8889,,-0.891264,6.83769,"13,9 €/m2",N/A,"- 0,9 %","+ 6,8 %"
Ottobre 2022,2022-10-01,13.8889,-0.902579,-2.7776,8.82074,"13,9 €/m2","- 0,9 %","- 2,8 %","+ 8,8 %"
Settembre 2022,2022-09-01,14.0154,0.0114173,,14.3638,"14,0 €/m2","0,0 %",N/A,"+ 14,4 %"
Agosto 2022,2022-08-01,14.0138,-1.9033,,10.5529,"14,0 €/m2","- 1,9 %",N/A,"+ 10,6 %"
Luglio 2022,2022-07-01,14.2857,,13.9401,13.1666,"14,3 €/m2",N/A,"+ 13,9 %","+ 13,2 %"
Giugno 2022,2022-06-01,,,,,N/A,N/A,N/A,N/A
Maggio 2022,2022-05-01,,,,,N/A,N/A,N/A,N/A
