cod. reg.,regione,cod. prov.,provincia,comune,cod. istat,flag,arrivi totale esercizi residenti,arrivi totale esercizi non residenti,arrivi totale esercizi totale,arrivi esercizi alberghieri residenti,arrivi esercizi alberghieri non residenti,arrivi esercizi alberghieri totale,arrivi esercizi extra-alberghieri residenti,arrivi esercizi extra-alberghieri non residenti,arrivi esercizi extra-alberghieri totale,presenze totale esercizi residenti,presenze totale esercizi non residenti,presenze totale esercizi totale,presenze esercizi alberghieri residenti,presenze esercizi alberghieri non residenti,presenze esercizi alberghieri totale,presenze esercizi extra-alberghieri residenti,presenze esercizi extra-alberghieri non residenti,presenze esercizi extra-alberghieri totale
010,PIEMONTE,001,TORINO,Ala di Stura,001003,,1775,30,1805,,,,,,,7407,59,7466,,,,,,
010,PIEMONTE,001,TORINO,Albiano d'Ivrea,001004,,2310,174,2484,,,,,,,7250,407,7657,,,,,,
010,PIEMONTE,001,TORINO,Angrogna,001011,,3219,6,3225,,,,,,,6425,9,6434,,,,,,
010,PIEMONTE,001,TORINO,Avigliana,001013,(a),9633,2181,11814,7756,836,8592,1877,1345,3222,28681,4317,32998,25004,1985,26989,3677,2332,6009
010,PIEMONTE,001,TORINO,Baldissero Torinese,001018,,685,171,856,,,,,,,2466,435,2901,,,,,,
010,PIEMONTE,001,TORINO,Banchette,001020,,5784,103,5887,,,,,,,14293,207,14500,,,,,,
010,PIEMONTE,001,TORINO,Bardonecchia,001022,,49724,18356,68080,43185,14500,57685,6539,3856,10395,218901,114466,333367,183839,76576,260415,35062,37890,72952
010,PIEMONTE,001,TORINO,Bobbio Pellice,001026,,1700,458,2158,,,,1700,458,2158,8709,2425,11134,,,,8709,2425,11134
010,PIEMONTE,001,TORINO,Borgaro Torinese,001028,,41618,13341,54959,,,,,,,75715,26471,102186,,,,,,
010,PIEMONTE,001,TORINO,Bruzolo,001040,,2481,926,3407,,,,,,,3888,1301,5189,,,,,,
010,PIEMONTE,001,TORINO,Caluso,001047,(a),2310,678,2988,,,,,,,4368,1631,5999,,,,,,
010,PIEMONTE,001,TORINO,Candia Canavese,001050,,1328,432,1760,,,,,,,2012,791,2803,,,,,,
010,PIEMONTE,001,TORINO,Candiolo,001051,(a),8203,929,9132,,,,,,,32729,1918,34647,,,,,,
010,PIEMONTE,001,TORINO,Cantalupa,001053,(a),8287,4368,12655,,,,,,,28454,15624,44078,,,,,,
010,PIEMONTE,001,TORINO,Carignano,001058,,249,46,295,,,,,,,4435,434,4869,,,,,,
010,PIEMONTE,001,TORINO,Carmagnola,001059,,3178,1735,4913,2092,833,2925,1086,902,1988,6197,4710,10907,3485,1916,5401,2712,2794,5506
010,PIEMONTE,001,TORINO,Caselette,001062,,8813,105,8918,,,,,,,43516,178,43694,,,,,,
010,PIEMONTE,001,TORINO,Caselle Torinese,001063,,8970,7150,16120,8652,7072,15724,318,78,396,13811,8834,22645,13137,8654,21791,674,180,854
010,PIEMONTE,001,TORINO,Castellamonte,001066,,1150,144,1294,,,,,,,2903,308,3211,,,,,,
010,PIEMONTE,001,TORINO,Cavour,001070,,885,223,1108,,,,,,,3180,642,3822,,,,,,
010,PIEMONTE,001,TORINO,Ceresole Reale,001073,,6438,745,7183,2393,461,2854,4045,284,4329,18019,1872,19891,5546,1125,6671,12473,747,13220
