"anno","media annuale centro storico","strutture centro storico","crescita prezzi centro storico","crescita strutture centro storico","media annuale zone esterne","strutture zone esterne","crescita prezzi zone esterne","crescita strutture zone esterne"
2015,11.57,604,-0.42,23.52,9.8,800,0.37,14.29
2016,12.01,853,3.77,41.23,10.04,917,2.42,14.63
2017,12.97,1221,8.01,43.14,10.62,1168,5.84,27.37
2018,14.52,1615,11.93,32.27,11.93,1494,12.35,27.91
2019,14.54,2173,0.11,34.55,13.02,1859,9.08,24.43
2020,15.12,2283,4.02,5.06,13.36,1853,2.68,-0.32
2021,15.03,2139,-0.6,-6.31,12.8,1735,-4.23,-6.37
2022,17.08,2326,13.66,8.74,13.88,1900,8.41,9.51
2023,20.22,2732,18.37,17.45,16.36,2308,17.94,21.47
2024,19.95,3024,-1.31,10.69,16.52,2675,0.96,15.9
