"regione","iscritti","anno","media annuale prezzi bologna"
"ABRUZZO",2314,2014,10.69
"BASILICATA",920,2014,10.69
"CALABRIA",1806,2014,10.69
"CAMPANIA",1177,2014,10.69
"EMILIA ROMAGNA",46337,2014,10.69
"FRIULI VENEZIA GIULIA",476,2014,10.69
"LAZIO",672,2014,10.69
"LIGURIA",241,2014,10.69
"LOMBARDIA",1890,2014,10.69
"MARCHE",4787,2014,10.69
"MOLISE",528,2014,10.69
"PIEMONTE",234,2014,10.69
"PUGLIA",3648,2014,10.69
"SARDEGNA",743,2014,10.69
"SICILIA",2603,2014,10.69
"TOSCANA",1761,2014,10.69
"TRENTINO ALTO ADIGE",964,2014,10.69
"UMBRIA",512,2014,10.69
"VALLE D'AOSTA",24,2014,10.69
"VENETO",3162,2014,10.69
"ABRUZZO",2354,2015,10.69
"BASILICATA",892,2015,10.69
"CALABRIA",1705,2015,10.69
"CAMPANIA",1240,2015,10.69
"EMILIA ROMAGNA",44696,2015,10.69
"FRIULI VENEZIA GIULIA",485,2015,10.69
"LAZIO",756,2015,10.69
"LIGURIA",283,2015,10.69
"LOMBARDIA",1924,2015,10.69
"MARCHE",4827,2015,10.69
"MOLISE",548,2015,10.69
"PIEMONTE",266,2015,10.69
"PUGLIA",3649,2015,10.69
"SARDEGNA",771,2015,10.69
"SICILIA",2749,2015,10.69
"TOSCANA",1940,2015,10.69
"TRENTINO ALTO ADIGE",918,2015,10.69
"UMBRIA",564,2015,10.69
"VALLE D'AOSTA",23,2015,10.69
"VENETO",3163,2015,10.69
"ABRUZZO",2390,2016,11.02
"BASILICATA",876,2016,11.02
"CALABRIA",1636,2016,11.02
"CAMPANIA",1268,2016,11.02
"EMILIA ROMAGNA",44567,2016,11.02
"FRIULI VENEZIA GIULIA",522,2016,11.02
"LAZIO",885,2016,11.02
"LIGURIA",325,2016,11.02
"LOMBARDIA",2143,2016,11.02
"MARCHE",4725,2016,11.02
"MOLISE",552,2016,11.02
"PIEMONTE",247,2016,11.02
"PUGLIA",3642,2016,11.02
"SARDEGNA",782,2016,11.02
"SICILIA",2898,2016,11.02
"TOSCANA",2175,2016,11.02
"TRENTINO ALTO ADIGE",920,2016,11.02
"UMBRIA",636,2016,11.02
"VALLE D'AOSTA",18,2016,11.02
"VENETO",3264,2016,11.02
"ABRUZZO",2416,2017,11.8
"BASILICATA",842,2017,11.8
"CALABRIA",1582,2017,11.8
"CAMPANIA",1432,2017,11.8
"EMILIA ROMAGNA",43877,2017,11.8
"FRIULI VENEZIA GIULIA",489,2017,11.8
"LAZIO",1013,2017,11.8
"LIGURIA",333,2017,11.8
"LOMBARDIA",2193,2017,11.8
"MARCHE",4770,2017,11.8
