mese_label,mese_iso,prezzo_m2,var_mensile_pct,var_trimestrale_pct,var_annuale_pct,prezzo_label,var_mensile_label,var_trimestrale_label,var_annuale_label
Dicembre 2025,2025-12-01,19.3106,-0.30666,-3.43541,-11.1711,"19,3 €/m2","- 0,3 %","- 3,4 %","- 11,2 %"
Novembre 2025,2025-11-01,19.37,-3.11609,-3.11754,-8.23254,"19,4 €/m2","- 3,1 %","- 3,1 %","- 8,2 %"
Ottobre 2025,2025-10-01,19.993,-0.0230028,-0.0140029,-2.36029,"20,0 €/m2","0,0 %","0,0 %","- 2,4 %"
Settembre 2025,2025-09-01,19.9976,0.0215072,-1.74232,0.0515327,"20,0 €/m2","0,0 %","- 1,7 %","+ 0,1 %"
Agosto 2025,2025-08-01,19.9933,-0.0125026,-0.00900221,2.58551,"20,0 €/m2","0,0 %","0,0 %","+ 2,6 %"
Luglio 2025,2025-07-01,19.9958,-1.75116,-1.70141,1.4279,"20,0 €/m2","- 1,8 %","- 1,7 %","+ 1,4 %"
Giugno 2025,2025-06-01,20.3522,1.78594,-3.49331,5.83127,"20,4 €/m2","+ 1,8 %","- 3,5 %","+ 5,8 %"
Maggio 2025,2025-05-01,19.9951,-1.70486,-8.2579,3.97435,"20,0 €/m2","- 1,7 %","- 8,3 %","+ 4,0 %"
Aprile 2025,2025-04-01,20.3419,-3.54215,-6.6667,3.9698,"20,3 €/m2","- 3,5 %","- 6,7 %","+ 4,0 %"
Marzo 2025,2025-03-01,21.0889,-3.23929,-2.99092,5.4445,"21,1 €/m2","- 3,2 %","- 3,0 %","+ 5,4 %"
Febbraio 2025,2025-02-01,21.7949,,3.25568,8.9745,"21,8 €/m2",N/A,"+ 3,3 %","+ 9,0 %"
Gennaio 2025,2025-01-01,21.7949,0.25668,6.43964,15.3847,"21,8 €/m2","+ 0,3 %","+ 6,4 %","+ 15,4 %"
Dicembre 2024,2024-12-01,21.7391,2.99133,8.76457,11.8013,"21,7 €/m2","+ 3,0 %","+ 8,8 %","+ 11,8 %"
Novembre 2024,2024-11-01,21.1077,3.08356,8.30349,5.5385,"21,1 €/m2","+ 3,1 %","+ 8,3 %","+ 5,5 %"
Ottobre 2024,2024-10-01,20.4763,2.44655,3.86521,1.30363,"20,5 €/m2","+ 2,4 %","+ 3,9 %","+ 1,3 %"
Settembre 2024,2024-09-01,19.9873,2.55472,3.93379,-3.50965,"20,0 €/m2","+ 2,6 %","+ 3,9 %","- 3,5 %"
Agosto 2024,2024-08-01,19.4894,-1.1408,1.34472,-2.553,"19,5 €/m2","- 1,1 %","+ 1,3 %","- 2,6 %"
Luglio 2024,2024-07-01,19.7143,2.5142,0.762067,-1.5191,"19,7 €/m2","+ 2,5 %","+ 0,8 %","- 1,5 %"
